1637226507.409,1637226507.409,7109532,fork,63686,Process::hello.sh,150480,Process::hello.sh
1637226507.409,1637226507.409,7106118,execve,150480,Process::hello.sh,150494,Process::sshpass
1637226507.413,1637226507.413,7109904,fork,150494,Process::sshpass,150542,Process::sshpass
1637226507.413,1637226507.413,7106119,execve,150542,Process::sshpass,150551,Process::scp
1637226507.421,1637226507.421,7109905,fork,150551,Process::scp,150640,Process::scp
1637226507.421,1637226507.421,7106120,execve,150640,Process::scp,150650,Process::ssh
1637226507.421,1637226507.421,7117684,load,40926,Artifact::file::/usr/bin/ssh,150650,Process::ssh
1637226507.429,1637226507.429,6547979,connect,150650,Process::ssh,150844,Artifact::network socket::192.168.99.4:22
1637226507.429,1637226508.510,5241998,write,150650,Process::ssh,150844,Artifact::network socket::192.168.99.4:22
1637226507.429,1637226508.510,5151710,read,150844,Artifact::network socket::192.168.99.4:22,150650,Process::ssh
1637226507.429,1637226508.510,5241999,write,150650,Process::ssh,150844,Artifact::network socket::192.168.99.4:22
1637226507.429,1637226508.510,5151711,read,150844,Artifact::network socket::192.168.99.4:22,150650,Process::ssh
1637226507.847,1637226507.847,5109032,open,150463,Artifact::file::/home/admin/hello.tar.gz,150551,Process::scp
