1637226427.120,1637226427.120,7118171,load,65753,Artifact::file::/usr/bin/grep,67377,Process::grep
1637226427.120,1637226427.120,7118226,load,66983,Artifact::file::/sbin/ifconfig,67354,Process::ifconfig
1637226427.120,1637226427.120,7109548,fork,67336,Process::hello.sh,67353,Process::hello.sh
1637226427.120,1637226427.120,7109551,fork,67336,Process::hello.sh,67340,Process::hello.sh
1637226427.120,1637226427.120,7109547,fork,67336,Process::hello.sh,67343,Process::hello.sh
1637226427.120,1637226427.120,7105695,execve,67340,Process::hello.sh,67354,Process::ifconfig
1637226427.120,1637226427.120,7105696,execve,67343,Process::hello.sh,67377,Process::grep
1637226427.124,1637226427.124,7109546,fork,67336,Process::hello.sh,67370,Process::hello.sh
1637226427.124,1637226427.124,7105698,execve,67353,Process::hello.sh,67373,Process::grep
1637226427.124,1637226427.124,7105701,execve,67370,Process::hello.sh,67463,Process::awk
1637226427.124,1637226427.124,7118122,load,65753,Artifact::file::/usr/bin/grep,67373,Process::grep
1637226427.128,1637226427.132,5146891,read,67640,Artifact::unnamed pipe::,67377,Process::grep
1637226427.132,1637226427.132,5235525,write,67354,Process::ifconfig,67640,Artifact::unnamed pipe::
1637226429.578,1637226429.578,7109554,fork,67463,Process::awk,72313,Process::awk
1637226429.582,1637226429.582,7118251,load,68840,Artifact::file::/usr/bin/nmap,72328,Process::nmap
1637226429.582,1637226429.582,7105715,execve,72313,Process::awk,72314,Process::sh
1637226429.582,1637226429.582,7109557,fork,72314,Process::sh,72326,Process::sh
1637226429.582,1637226429.582,7105716,execve,72326,Process::sh,72328,Process::nmap
